title,url,price_eur,dna_price_eur,customer_price_eur,in_stock,manufacturer,gift
"Valco VMK25.2 vastamelukuulokkeet, Musta",https://kauppa.dna.fi/tuote/p/valco-vmk25-2-vastamelukuulokkeet-musta,199.0,199.0,199.0,True,Valco,Kaupan päälle jopa 29 € arvoinen suojakuori!
"Google Pixel 11 5G, 256 Gt, Frost",https://kauppa.dna.fi/tuote/p/google-pixel-11-5g-256-gt-frost,10.49,10.49,10.49,True,Google,Kaupan päälle jopa 519 € arvoinen Jopo!
"Google Pixel 11 Pro 5G, 256 Gt, Canyon",https://kauppa.dna.fi/tuote/p/google-pixel-11-pro-5g-256-gt-canyon,12.59,12.59,12.59,True,Google,Kaupan päälle jopa 519 € arvoinen Jopo!
"Google Pixel 11 Pro Fold 5G, 256 Gt, Obsidian",https://kauppa.dna.fi/tuote/p/google-pixel-11-pro-fold-5g-256-gt-obsidian,20.89,20.89,20.89,True,Google,Kaupan päälle jopa 519 € arvoinen Jopo!
"Google Pixel 11 Pro XL 5G, 256 Gt, Canyon",https://kauppa.dna.fi/tuote/p/google-pixel-11-pro-xl-5g-256-gt-canyon,14.69,14.69,14.69,True,Google,Kaupan päälle jopa 519 € arvoinen Jopo!
"Lenovo IdeaPad Slim 3 17,3"" (83VS0043MX)",https://kauppa.dna.fi/tuote/p/lenovo-ideapad-slim-3-173-83vs0043mx,649.0,649.0,749.0,True,Lenovo,No gift
"Lenovo LOQ 15AHP11 15,3"" (83TN00B2MX)",https://kauppa.dna.fi/tuote/p/lenovo-loq-15ahp11-153-83tn00b2mx,13.99,13.99,15.99,True,Lenovo,No gift
"Lenovo Yoga Slim 7 Ultra 14"" (83QK00A5MX)",https://kauppa.dna.fi/tuote/p/lenovo-yoga-slim-7-ultra-14-83qk00a5mx,22.99,22.99,24.99,True,Lenovo,No gift
"Samsung Galaxy A27 5G, 256 Gt, Musta",https://kauppa.dna.fi/tuote/p/samsung-galaxy-a27-5g-256-gt-musta,449.0,449.0,449.0,True,Samsung,Kaupan päälle jopa 55 € arvoinen näytönsuoja!
"Samsung Galaxy A27 5G, 128 Gt, Musta",https://kauppa.dna.fi/tuote/p/samsung-galaxy-a27-5g-128-gt-musta,329.0,349.0,349.0,True,Samsung,Kaupan päälle jopa 55 € arvoinen näytönsuoja!
"Samsung Galaxy Watch Ultra2 -älykello, Harmaa",https://kauppa.dna.fi/tuote/p/samsung-galaxy-watch-ultra2-alykello-harmaa,749.0,749.0,749.0,True,Samsung,No gift
"Samsung Galaxy Watch9 eSIM -älykello, 40 mm, Hopea",https://kauppa.dna.fi/tuote/p/samsung-galaxy-watch9-esim-alykello-40-mm-hopea,459.0,459.0,459.0,True,Samsung,No gift
"Samsung Galaxy Watch9 eSIM -älykello, 44 mm, Hopea",https://kauppa.dna.fi/tuote/p/samsung-galaxy-watch9-esim-alykello-44-mm-hopea,489.0,489.0,489.0,True,Samsung,No gift
"Samsung Galaxy Z Flip8 5G, 256 Gt, Cream",https://kauppa.dna.fi/tuote/p/samsung-galaxy-z-flip8-5g-256-gt-cream,13.69,13.69,13.69,True,Samsung,Kaupan päälle jopa 399 € arvoinen tabletti!
"Samsung Galaxy Z Flip8 5G, 512 Gt, Cream",https://kauppa.dna.fi/tuote/p/samsung-galaxy-z-flip8-5g-512-gt-cream,15.69,15.69,15.69,True,Samsung,Kaupan päälle jopa 399 € arvoinen tabletti!
"Samsung Galaxy Z Fold8 5G, 256 Gt, Graphite",https://kauppa.dna.fi/tuote/p/samsung-galaxy-z-fold8-5g-256-gt-graphite,20.99,20.99,20.99,True,Samsung,Kaupan päälle jopa 399 € arvoinen tabletti!
"Samsung Galaxy Z Fold8 5G, 512 Gt, Graphite",https://kauppa.dna.fi/tuote/p/samsung-galaxy-z-fold8-5g-512-gt-graphite,22.99,22.99,22.99,True,Samsung,Kaupan päälle jopa 399 € arvoinen tabletti!
"Samsung Galaxy Z Fold8 Ultra 5G, 1 Tt, Graphite",https://kauppa.dna.fi/tuote/p/samsung-galaxy-z-fold8-ultra-5g-1-tt-graphite,29.29,29.29,29.29,True,Samsung,Kaupan päälle jopa 399 € arvoinen tabletti!
"Samsung Galaxy Z Fold8 Ultra 5G, 256 Gt, Cream",https://kauppa.dna.fi/tuote/p/samsung-galaxy-z-fold8-ultra-5g-256-gt-cream,22.99,22.99,22.99,True,Samsung,Kaupan päälle jopa 399 € arvoinen tabletti!
"Samsung Galaxy Z Fold8 Ultra 5G, 512 Gt, Cream",https://kauppa.dna.fi/tuote/p/samsung-galaxy-z-fold8-ultra-5g-512-gt-cream,25.29,25.29,25.29,True,Samsung,Kaupan päälle jopa 399 € arvoinen tabletti!
Dreame A1 Pro 1000 -robottiruohonleikkuri,https://kauppa.dna.fi/tuote/p/dreame-a1pro-robotti-ruohonleikkuri,999.0,999.0,11.69,True,Dreame,No gift
Dreame MF10 -lattiatuuletin,https://kauppa.dna.fi/tuote/p/dreame-mf10-lattiatuuletin,269.0,269.0,369.0,True,Dreame,No gift
Mova N1 -ikkunanpesurobotti,https://kauppa.dna.fi/tuote/p/mova-n1-ikkunanpesurobotti,179.0,179.0,249.0,True,Mova,No gift
"HONOR Magic V6 5G, 512 Gt, Black",https://kauppa.dna.fi/tuote/p/honor-magic-v6-512-gt-black,22.99,22.99,22.99,True,HONOR,Kaupan päälle jopa 55 € arvoinen näytönsuoja!
"HONOR 600 Smart 5G, Meteor Silver",https://kauppa.dna.fi/tuote/p/honor-600-smart-5g-meteor-silver,249.0,249.0,249.0,False,HONOR,Kaupan päälle jopa 134 € arvosta etuja!
